股票代码,股票名称,所属ETF
600036,招商银行,银行ETF
601166,兴业银行,银行ETF
601398,工商银行,银行ETF
601288,农业银行,银行ETF
601328,交通银行,银行ETF
600000,浦发银行,银行ETF
600919,江苏银行,银行ETF
000001,平安银行,银行ETF
601169,北京银行,银行ETF
600016,民生银行,银行ETF
300059,东方财富,券商ETF、证券ETF
600030,中信证券,券商ETF、证券ETF
601211,国泰海通,券商ETF、证券ETF
601688,华泰证券,券商ETF、证券ETF
600999,招商证券,券商ETF、证券ETF
000776,广发证券,券商ETF、证券ETF
600958,东方证券,券商ETF、证券ETF
000166,申万宏源,券商ETF、证券ETF
601377,兴业证券,券商ETF、证券ETF
601995,中金公司,券商ETF、证券ETF
600519,贵州茅台,消费ETF、食品饮料ETF
000858,五粮液,消费ETF、食品饮料ETF
600887,伊利股份,消费ETF、食品饮料ETF
000568,泸州老窖,消费ETF、食品饮料ETF
600809,山西汾酒,消费ETF、食品饮料ETF
603288,海天味业,消费ETF、食品饮料ETF
605499,东鹏饮料,消费ETF、食品饮料ETF
002304,洋河股份,食品饮料ETF
600298,安琪酵母,食品饮料ETF
603369,今世缘,食品饮料ETF
002714,牧原股份,消费ETF、农业ETF
300498,温氏股份,消费ETF、农业ETF
000651,格力电器,家电ETF
000333,美的集团,家电ETF
002050,三花智控,家电ETF、新能源车ETF
600690,海尔智家,家电ETF
002851,麦格米特,家电ETF
600839,四川长虹,家电ETF
688169,石头科技,家电ETF
600060,海信视像,家电ETF
603486,科沃斯,家电ETF
002429,兆驰股份,家电ETF
600276,恒瑞医药,医药ETF、科技ETF
603259,药明康德,医药ETF、医疗ETF、科技ETF
300760,迈瑞医疗,医药ETF、医疗ETF
688271,联影医疗,医药ETF、医疗ETF
300015,爱尔眼科,医药ETF、医疗ETF
600436,片仔癀,医药ETF
000538,云南白药,医药ETF
002001,新和成,医药ETF
000963,华东医药,医药ETF
600196,复星医药,医药ETF
300759,康龙化成,医疗ETF
300347,泰格医药,医疗ETF
300896,爱美客,医疗ETF
300832,新产业,医疗ETF
688617,惠泰医疗,医疗ETF
002223,鱼跃医疗,医疗ETF
300502,新易盛,科技ETF
300308,中际旭创,科技ETF
688981,中芯国际,科技ETF、半导体ETF、芯片ETF
688041,海光信息,科技ETF、半导体ETF、芯片ETF
002371,北方华创,科技ETF、半导体ETF、芯片ETF
688008,澜起科技,科技ETF、半导体ETF、芯片ETF
603019,中科曙光,科技ETF
300476,胜宏科技,科技ETF
688256,寒武纪,半导体ETF、芯片ETF
603986,兆易创新,半导体ETF、芯片ETF
688012,中微公司,半导体ETF、芯片ETF
603501,豪威集团,半导体ETF、芯片ETF
688072,拓荆科技,半导体ETF、芯片ETF
600584,长电科技,半导体ETF、芯片ETF
300750,宁德时代,新能源ETF、新能源车ETF
600089,特变电工,新能源ETF、光伏ETF
601985,中国核电,新能源ETF
002460,赣锋锂业,新能源ETF、新能源车ETF、有色金属ETF
300450,先导智能,新能源ETF、新能源车ETF
600905,三峡能源,新能源ETF
300274,阳光电源,新能源ETF、光伏ETF
601012,隆基绿能,新能源ETF、光伏ETF
300014,亿纬锂能,新能源ETF、新能源车ETF
603799,华友钴业,新能源ETF、新能源车ETF、有色金属ETF
000100,TCL科技,光伏ETF
600438,通威股份,光伏ETF
300751,迈为股份,光伏ETF
605117,德业股份,光伏ETF
601877,正泰电器,光伏ETF
002129,TCL中环,光伏ETF
300724,捷佳伟创,光伏ETF
300124,汇川技术,新能源车ETF
002594,比亚迪,新能源车ETF
000625,长安汽车,新能源车ETF
002709,天赐材料,新能源车ETF
600150,中国船舶,军工ETF
002625,光启技术,军工ETF
600879,航天电子,军工ETF
600118,中国卫星,军工ETF
600893,航发动力,军工ETF
600760,中航沈飞,军工ETF
002179,中航光电,军工ETF
000547,航天发展,军工ETF
300395,菲利华,军工ETF
688002,睿创微纳,军工ETF
601088,中国神华,煤炭ETF
601225,陕西煤业,煤炭ETF
600188,兖矿能源,煤炭ETF
601898,中煤能源,煤炭ETF
000983,山西焦煤,煤炭ETF
600348,华阳股份,煤炭ETF
000723,美锦能源,煤炭ETF
601699,潞安环能,煤炭ETF
600985,淮北矿业,煤炭ETF
601666,平煤股份,煤炭ETF
601899,紫金矿业,有色金属ETF
603993,洛阳钼业,有色金属ETF
600111,北方稀土,有色金属ETF
601600,中国铝业,有色金属ETF
600547,山东黄金,有色金属ETF
000807,云铝股份,有色金属ETF
600489,中金黄金,有色金属ETF
000408,藏格矿业,有色金属ETF、农业ETF
600048,保利发展,房地产ETF
600895,张江高科,房地产ETF
000002,万科A,房地产ETF
001979,招商蛇口,房地产ETF
600515,海南机场,房地产ETF
600208,衢州发展,房地产ETF
600246,万通发展,房地产ETF
601155,新城控股,房地产ETF
002244,滨江集团,房地产ETF
600641,先导基电,房地产ETF
002311,海大集团,消费ETF、农业ETF
000792,盐湖股份,农业ETF
000876,新希望,农业ETF
000893,亚钾国际,农业ETF
600873,梅花生物,农业ETF
600486,扬农化工,农业ETF
002385,大北农,农业ETF
002517,恺英网络,传媒ETF
002195,岩山科技,传媒ETF
300418,昆仑万维,传媒ETF
002131,利欧股份,传媒ETF
002555,三七互娱,传媒ETF
300251,光线传媒,传媒ETF
300002,神州泰岳,传媒ETF
300413,芒果超媒,传媒ETF
002027,分众传媒,传媒ETF
002602,世纪华通,传媒ETF
